ddate,returnid,shipmentid,transactionid
9/9/2015,737,1387,1387
1/8/2015,511,1388,1388
9/29/2014,342,1389,1389
11/10/2016,805,1390,1390
9/6/2014,457,1391,1391
4/10/2014,442,1392,1392
3/20/2016,344,1393,1393
3/12/2015,193,1394,1394
9/9/2014,159,1395,1395
7/27/2015,422,1396,1396
3/9/2017,225,1397,1397
7/9/2015,923,1398,1398
12/4/2016,379,1399,1399
4/22/2015,955,1400,1400
11/15/2016,207,1401,1401
1/5/2015,823,1402,1402
10/15/2015,868,1403,1403
11/23/2016,479,1404,1404
6/20/2015,860,1405,1405
8/21/2014,877,1406,1406
11/14/2016,95,1407,1407
4/1/2017,170,1408,1408
1/28/2016,399,1409,1409
8/21/2014,394,1410,1410
7/14/2016,341,1411,1411
6/19/2015,548,1412,1412
2/9/2015,852,1413,1413
11/26/2014,743,1414,1414
4/26/2014,172,1415,1415
7/25/2015,617,1416,1416
6/15/2016,787,1417,1417
7/3/2015,206,1418,1418
12/12/2014,496,1419,1419
10/22/2016,19,1420,1420
12/31/2016,492,1421,1421
11/28/2016,745,1422,1422
1/21/2015,701,1423,1423
1/1/2015,538,1424,1424
7/7/2014,113,1425,1425
7/31/2016,797,1426,1426
9/1/2015,118,1427,1427
8/17/2014,388,1428,1428
10/9/2015,203,1429,1429
11/10/2014,466,1430,1430
6/5/2014,704,1431,1431
4/9/2014,912,1432,1432
6/29/2015,949,1433,1433
7/27/2016,26,1434,1434
1/6/2015,961,1435,1435
1/13/2015,459,1436,1436
1/14/2016,368,1437,1437
1/22/2017,945,1438,1438
5/20/2014,391,1439,1439
12/7/2016,918,1440,1440
5/31/2014,899,1441,1441
5/7/2015,382,1442,1442
9/9/2016,197,1443,1443
5/31/2014,688,1444,1444
5/22/2016,792,1445,1445
1/27/2016,667,1446,1446
9/3/2015,585,1447,1447
11/8/2014,156,1448,1448
4/4/2016,774,1449,1449
12/22/2016,408,1450,1450
9/2/2016,628,1451,1451
4/5/2015,329,1452,1452
11/16/2014,954,1453,1453
2/7/2016,738,1454,1454
6/29/2015,527,1455,1455
12/20/2016,617,1456,1456
7/14/2016,769,1457,1457
8/19/2014,331,1458,1458
6/18/2014,534,1459,1459
3/20/2015,100,1460,1460
3/23/2015,168,1461,1461
10/12/2016,214,1462,1462
11/3/2014,340,1463,1463
4/23/2015,896,1464,1464
7/6/2014,719,1465,1465
3/19/2016,477,1466,1466
4/13/2016,453,1467,1467
8/6/2015,465,1468,1468
9/30/2015,278,1469,1469
8/28/2016,282,1470,1470
5/17/2014,41,1471,1471
2/12/2015,320,1472,1472
10/12/2016,68,1473,1473
1/30/2015,87,1474,1474
10/13/2015,125,1475,1475
9/29/2015,54,1476,1476
4/28/2016,651,1477,1477
8/30/2015,15,1478,1478
4/11/2015,698,1479,1479
4/21/2016,856,1480,1480
7/6/2016,667,1481,1481
5/20/2015,226,1482,1482
10/22/2016,406,1483,1483
4/1/2017,346,1484,1484
4/10/2014,335,1485,1485
1/9/2015,10,1486,1486
9/6/2014,988,1487,1487
8/30/2016,986,1488,1488
7/16/2015,769,1489,1489
12/18/2014,16,1490,1490
9/30/2015,526,1491,1491
3/2/2016,912,1492,1492
5/23/2015,833,1493,1493
5/29/2016,187,1494,1494
8/15/2014,773,1495,1495
12/10/2016,419,1496,1496
2/27/2016,151,1497,1497
12/23/2015,397,1498,1498
7/12/2014,86,1499,1499
10/13/2016,148,1500,1500
1/31/2015,962,1501,1501
9/9/2014,176,1502,1502
12/12/2014,320,1503,1503
7/7/2014,117,1504,1504
7/6/2015,817,1505,1505
8/20/2014,430,1506,1506
11/10/2014,673,1507,1507
1/17/2016,771,1508,1508
8/19/2015,124,1509,1509
3/23/2017,285,1510,1510
3/9/2016,66,1511,1511
10/5/2015,561,1512,1512
11/5/2014,311,1513,1513
8/29/2015,348,1514,1514
5/15/2016,156,1515,1515
10/10/2015,643,1516,1516
3/20/2016,809,1517,1517
8/8/2016,839,1518,1518
7/8/2015,419,1519,1519
4/22/2014,217,1520,1520
3/29/2017,465,1521,1521
2/9/2015,435,1522,1522
10/14/2014,800,1523,1523
9/15/2016,54,1524,1524
9/16/2014,516,1525,1525
4/13/2015,799,1526,1526
9/14/2016,106,1527,1527
2/13/2017,278,1528,1528
10/27/2015,575,1529,1529
10/7/2014,482,1530,1530
5/1/2015,399,1531,1531
5/5/2016,815,1532,1532
1/5/2016,782,1533,1533
1/17/2017,624,1534,1534
7/9/2016,101,1535,1535
8/15/2014,565,1536,1536
5/31/2015,654,1537,1537
4/25/2015,7,1538,1538
5/8/2015,747,1539,1539
12/21/2015,420,1540,1540
4/27/2015,474,1541,1541
1/13/2017,15,1542,1542
1/26/2017,440,1543,1543
8/2/2014,201,1544,1544
1/15/2016,57,1545,1545
5/23/2016,433,1546,1546
8/23/2014,356,1547,1547
4/24/2014,151,1548,1548
9/22/2016,456,1549,1549
8/4/2016,626,1550,1550
10/4/2016,175,1551,1551
10/30/2016,512,1552,1552
3/8/2016,823,1553,1553
5/25/2014,588,1554,1554
5/21/2015,876,1555,1555
12/4/2015,789,1556,1556
12/7/2015,599,1557,1557
3/12/2015,765,1558,1558
2/11/2016,525,1559,1559
12/26/2015,497,1560,1560
9/11/2016,619,1561,1561
10/13/2015,541,1562,1562
11/24/2014,110,1563,1563
7/7/2015,365,1564,1564
3/27/2016,666,1565,1565
3/17/2016,694,1566,1566
8/8/2015,181,1567,1567
5/27/2015,131,1568,1568
5/7/2016,250,1569,1569
1/6/2017,565,1570,1570
11/20/2016,428,1571,1571
12/9/2015,409,1572,1572
5/12/2015,155,1573,1573
3/27/2015,949,1574,1574
9/22/2014,487,1575,1575
1/7/2017,722,1576,1576
8/20/2015,634,1577,1577
7/20/2014,623,1578,1578
8/22/2016,519,1579,1579
4/19/2014,363,1580,1580
11/19/2016,967,1581,1581
2/18/2015,737,1582,1582
6/14/2015,242,1583,1583
10/8/2016,890,1584,1584
8/30/2016,873,1585,1585
8/6/2014,107,1586,1586
2/16/2016,671,1587,1587
11/30/2014,334,1588,1588
3/27/2015,289,1589,1589
12/24/2014,197,1590,1590
4/22/2014,723,1591,1591
1/17/2017,731,1592,1592
12/18/2014,227,1593,1593
1/24/2016,999,1594,1594
11/11/2015,622,1595,1595
12/16/2015,60,1596,1596
4/18/2014,816,1597,1597
12/13/2015,886,1598,1598
8/27/2016,952,1599,1599
2/5/2016,973,1600,1600
12/27/2014,587,1601,1601
7/1/2016,194,1602,1602
2/1/2016,225,1603,1603
4/19/2016,917,1604,1604
1/28/2016,492,1605,1605
8/5/2014,711,1606,1606
8/14/2014,638,1607,1607
6/10/2016,912,1608,1608
1/24/2017,73,1609,1609
7/24/2014,687,1610,1610
6/25/2015,243,1611,1611
9/22/2015,642,1612,1612
5/23/2016,674,1613,1613
4/28/2015,460,1614,1614
5/18/2014,516,1615,1615
8/15/2015,159,1616,1616
5/8/2016,521,1617,1617
3/19/2016,212,1618,1618
7/28/2015,114,1619,1619
2/24/2015,89,1620,1620
4/5/2015,332,1621,1621
2/5/2017,771,1622,1622
10/26/2016,472,1623,1623
10/1/2014,797,1624,1624
11/17/2016,24,1625,1625
5/21/2014,297,1626,1626
1/26/2015,594,1627,1627
11/12/2014,739,1628,1628
2/25/2016,502,1629,1629
1/14/2015,941,1630,1630
5/21/2015,104,1631,1631
7/7/2014,714,1632,1632
12/4/2016,599,1633,1633
12/17/2015,274,1634,1634
9/18/2014,703,1635,1635
11/20/2015,528,1636,1636
3/1/2017,711,1637,1637
6/15/2014,715,1638,1638
7/16/2015,479,1639,1639
5/30/2016,239,1640,1640
5/20/2016,566,1641,1641
12/2/2014,232,1642,1642
5/27/2016,431,1643,1643
4/5/2015,777,1644,1644
1/8/2017,515,1645,1645
1/5/2015,401,1646,1646
11/25/2016,644,1647,1647
5/9/2014,736,1648,1648
5/1/2016,154,1649,1649
8/19/2016,526,1650,1650
4/26/2015,543,1651,1651
11/18/2014,570,1652,1652
8/11/2015,617,1653,1653
3/8/2017,974,1654,1654
12/2/2016,386,1655,1655
12/25/2014,781,1656,1656
5/18/2014,125,1657,1657
6/10/2015,119,1658,1658
10/24/2016,554,1659,1659
8/19/2015,549,1660,1660
10/29/2015,530,1661,1661
3/6/2016,656,1662,1662
10/23/2015,698,1663,1663
11/1/2014,762,1664,1664
5/24/2015,564,1665,1665
1/28/2017,294,1666,1666
12/10/2015,650,1667,1667
3/17/2016,573,1668,1668
7/2/2015,614,1669,1669
6/6/2016,399,1670,1670
9/24/2014,680,1671,1671
8/13/2015,202,1672,1672
3/23/2015,904,1673,1673
5/19/2015,706,1674,1674
1/21/2017,995,1675,1675
7/1/2014,536,1676,1676
10/29/2016,789,1677,1677
12/12/2015,854,1678,1678
9/19/2016,751,1679,1679
2/12/2017,514,1680,1680
7/29/2015,836,1681,1681
1/16/2017,725,1682,1682
10/18/2015,241,1683,1683
1/4/2016,749,1684,1684
7/10/2016,305,1685,1685
8/3/2016,215,1686,1686
8/19/2014,61,1687,1687
2/19/2017,235,1688,1688
8/18/2015,528,1689,1689
10/4/2016,999,1690,1690
8/31/2015,922,1691,1691
4/29/2016,739,1692,1692
1/12/2017,663,1693,1693
9/1/2016,972,1694,1694
10/28/2015,848,1695,1695
5/16/2015,756,1696,1696
2/12/2016,523,1697,1697
1/25/2017,887,1698,1698
12/11/2014,158,1699,1699
2/28/2015,320,1700,1700
9/29/2014,81,1701,1701
3/12/2015,301,1702,1702
6/21/2016,335,1703,1703
6/16/2016,818,1704,1704
1/13/2015,373,1705,1705
7/8/2016,184,1706,1706
2/25/2016,779,1707,1707
6/19/2015,48,1708,1708
1/3/2015,405,1709,1709
12/29/2015,700,1710,1710
7/14/2014,613,1711,1711
5/16/2014,118,1712,1712
7/4/2015,365,1713,1713
11/28/2015,956,1714,1714
11/5/2016,421,1715,1715
8/17/2015,770,1716,1716
12/6/2014,5,1717,1717
3/11/2015,819,1718,1718
8/4/2016,699,1719,1719
3/26/2016,462,1720,1720
8/30/2015,903,1721,1721
7/3/2016,773,1722,1722
12/9/2014,172,1723,1723
10/26/2015,233,1724,1724
2/5/2016,46,1725,1725
2/3/2017,494,1726,1726
10/23/2015,512,1727,1727
11/23/2015,923,1728,1728
10/26/2015,884,1729,1729
11/21/2014,559,1730,1730
4/24/2016,740,1731,1731
10/11/2016,896,1732,1732
11/27/2016,106,1733,1733
10/25/2016,181,1734,1734
1/9/2016,512,1735,1735
6/2/2014,492,1736,1736
12/10/2016,583,1737,1737
4/2/2017,223,1738,1738
6/5/2014,914,1739,1739
8/22/2015,297,1740,1740
11/5/2014,810,1741,1741
1/16/2015,687,1742,1742
5/6/2016,460,1743,1743
2/1/2016,134,1744,1744
11/28/2015,517,1745,1745
8/8/2016,554,1746,1746
11/7/2016,238,1747,1747
2/23/2016,695,1748,1748
2/7/2015,644,1749,1749
5/2/2014,121,1750,1750
2/13/2016,455,1751,1751
10/27/2015,935,1752,1752
8/18/2014,448,1753,1753
8/17/2015,697,1754,1754
2/22/2015,772,1755,1755
4/21/2016,379,1756,1756
9/12/2015,704,1757,1757
3/16/2015,146,1758,1758
7/31/2016,538,1759,1759
12/14/2016,27,1760,1760
6/17/2014,27,1761,1761
11/2/2014,997,1762,1762
1/19/2015,949,1763,1763
5/6/2014,588,1764,1764
9/26/2015,878,1765,1765
4/12/2016,409,1766,1766
10/14/2015,43,1767,1767
12/26/2016,108,1768,1768
1/29/2015,670,1769,1769
4/16/2016,251,1770,1770
7/30/2014,400,1771,1771
4/10/2014,428,1772,1772
2/26/2016,518,1773,1773
4/15/2015,585,1774,1774
6/9/2015,408,1775,1775
10/28/2014,19,1776,1776
11/14/2016,395,1777,1777
1/13/2016,382,1778,1778
4/21/2016,364,1779,1779
8/25/2016,401,1780,1780
1/22/2015,242,1781,1781
8/29/2016,129,1782,1782
3/14/2016,116,1783,1783
10/17/2015,189,1784,1784
2/18/2017,579,1785,1785
4/15/2016,9,1786,1786
10/4/2016,565,1787,1787
6/11/2015,352,1788,1788
2/18/2017,132,1789,1789
11/9/2014,699,1790,1790
6/17/2016,677,1791,1791
3/26/2017,509,1792,1792
6/18/2016,701,1793,1793
2/11/2016,357,1794,1794
4/12/2016,169,1795,1795
3/12/2016,373,1796,1796
8/10/2015,504,1797,1797
3/1/2016,185,1798,1798
1/5/2017,601,1799,1799
2/27/2015,814,1800,1800
11/23/2016,482,1801,1801
11/30/2016,332,1802,1802
10/23/2016,540,1803,1803
4/2/2016,379,1804,1804
2/16/2015,423,1805,1805
2/5/2015,259,1806,1806
11/5/2014,616,1807,1807
7/14/2015,521,1808,1808
9/2/2016,115,1809,1809
8/28/2014,384,1810,1810
10/30/2015,499,1811,1811
2/1/2015,18,1812,1812
4/28/2015,661,1813,1813
5/21/2016,617,1814,1814
6/26/2015,596,1815,1815
7/23/2014,885,1816,1816
11/1/2016,717,1817,1817
12/1/2016,462,1818,1818
7/7/2016,946,1819,1819
10/26/2016,82,1820,1820
8/15/2016,936,1821,1821
7/21/2016,461,1822,1822
12/17/2016,655,1823,1823
5/3/2014,622,1824,1824
1/3/2015,874,1825,1825
11/1/2014,425,1826,1826
3/7/2016,904,1827,1827
4/5/2016,748,1828,1828
8/19/2015,339,1829,1829
8/27/2015,14,1830,1830
3/12/2016,926,1831,1831
7/17/2014,446,1832,1832
5/7/2014,269,1833,1833
1/30/2016,538,1834,1834
8/22/2015,14,1835,1835
1/11/2015,636,1836,1836
1/19/2016,162,1837,1837
8/16/2014,877,1838,1838
9/12/2015,749,1839,1839
2/13/2015,828,1840,1840
6/9/2014,530,1841,1841
10/16/2016,978,1842,1842
8/25/2015,96,1843,1843
2/19/2016,250,1844,1844
10/1/2016,927,1845,1845
7/3/2015,398,1846,1846
3/27/2017,121,1847,1847
11/21/2014,766,1848,1848
4/9/2015,713,1849,1849
2/2/2015,412,1850,1850
3/25/2017,130,1851,1851
2/12/2015,804,1852,1852
2/27/2015,875,1853,1853
1/3/2016,166,1854,1854
4/24/2015,194,1855,1855
5/7/2016,989,1856,1856
12/1/2015,829,1857,1857
3/19/2015,106,1858,1858
9/5/2014,27,1859,1859
1/27/2015,142,1860,1860
3/12/2016,185,1861,1861
1/19/2015,856,1862,1862
11/5/2014,536,1863,1863
4/28/2015,794,1864,1864
11/3/2016,16,1865,1865
10/5/2015,706,1866,1866
8/20/2014,689,1867,1867
1/13/2015,941,1868,1868
7/31/2014,718,1869,1869
7/2/2016,23,1870,1870
3/29/2015,814,1871,1871
5/3/2015,173,1872,1872
2/20/2016,234,1873,1873
9/23/2016,849,1874,1874
11/15/2016,501,1875,1875
2/4/2017,319,1876,1876
9/14/2014,143,1877,1877
11/22/2014,825,1878,1878
2/3/2015,362,1879,1879
12/21/2014,300,1880,1880
3/31/2017,234,1881,1881
9/5/2015,583,1882,1882
10/26/2014,105,1883,1883
9/7/2016,354,1884,1884
11/13/2016,832,1885,1885
4/10/2014,509,1886,1886
2/28/2017,776,1887,1887
6/26/2014,914,1888,1888
4/28/2015,266,1889,1889
4/7/2016,296,1890,1890
5/6/2016,904,1891,1891
1/26/2015,317,1892,1892
7/6/2016,213,1893,1893
8/17/2014,281,1894,1894
1/23/2016,146,1895,1895
10/6/2015,405,1896,1896
8/4/2014,999,,
7/16/2015,55,,
11/22/2016,243,,
5/12/2014,556,,
10/10/2015,236,,
8/4/2014,601,,
1/5/2017,433,,
10/28/2016,627,,
2/23/2016,522,,
9/6/2015,764,,
7/26/2014,150,,
12/5/2016,138,,
3/3/2015,7,,
8/30/2015,570,,
12/31/2016,604,,
7/29/2015,296,,
7/10/2015,247,,
9/1/2016,798,,
11/5/2015,717,,
4/29/2014,676,,
3/8/2016,519,,
3/27/2015,394,,
1/18/2016,427,,
1/25/2017,443,,
11/28/2014,552,,
11/12/2014,756,,
6/15/2014,53,,
8/12/2016,210,,
9/21/2014,886,,
12/20/2016,914,,
4/5/2015,804,,
8/19/2016,326,,
11/21/2016,957,,
11/21/2014,77,,
3/8/2015,848,,
6/4/2014,459,,
7/6/2014,995,,
6/1/2016,880,,
8/10/2014,353,,
8/6/2016,515,,
6/28/2014,585,,
2/17/2015,984,,
2/11/2016,137,,
7/9/2015,535,,
7/12/2014,676,,
9/1/2016,520,,
11/15/2015,339,,
6/17/2016,573,,
7/12/2015,650,,
3/9/2016,101,,
9/27/2015,603,,
4/7/2016,698,,
3/8/2016,509,,
5/7/2015,22,,
12/25/2016,150,,
2/17/2017,85,,
12/16/2014,973,,
10/14/2014,506,,
5/18/2015,355,,
2/5/2016,306,,
8/1/2016,703,,
4/14/2015,91,,
2/4/2017,88,,
4/19/2014,207,,
6/12/2016,651,,
10/29/2016,301,,
10/31/2016,480,,
6/11/2015,356,,
8/20/2015,25,,
9/13/2015,884,,
4/5/2015,674,,
5/28/2016,816,,
8/15/2015,520,,
12/10/2014,397,,
6/12/2015,462,,
10/12/2016,926,,
3/21/2015,346,,
10/22/2014,256,,
2/8/2015,425,,
2/3/2015,44,,
10/16/2014,373,,
7/30/2014,647,,
12/4/2016,779,,
5/9/2014,958,,
3/26/2016,714,,
9/14/2014,845,,
6/16/2014,442,,
9/7/2015,673,,
4/27/2014,65,,
5/26/2016,519,,
4/24/2014,909,,
4/9/2016,243,,
9/14/2014,748,,
9/29/2014,640,,
10/12/2016,9,,
8/3/2014,172,,
9/29/2015,297,,
2/9/2017,987,,
4/6/2015,530,,
11/19/2015,786,,
9/25/2014,319,,
9/22/2016,964,,
7/14/2015,1000,,
9/25/2015,181,,
4/27/2016,642,,
11/18/2016,877,,
2/17/2015,794,,
1/8/2016,369,,
9/23/2014,848,,
12/25/2016,185,,
8/29/2015,181,,
9/5/2015,206,,
3/13/2016,930,,
6/18/2015,41,,
2/20/2015,424,,
8/10/2014,40,,
2/2/2016,345,,
7/7/2016,363,,
5/23/2015,767,,
5/25/2016,268,,
10/26/2014,688,,
8/13/2015,435,,
8/6/2014,420,,
4/21/2016,818,,
7/26/2014,279,,
12/4/2016,133,,
5/23/2014,748,,
11/30/2015,503,,
7/15/2015,916,,
11/11/2015,249,,
11/28/2014,480,,
3/5/2017,439,,
9/6/2016,72,,
4/17/2014,414,,
8/13/2014,36,,
5/14/2015,190,,
3/8/2015,550,,
3/20/2015,47,,
2/5/2016,782,,
8/23/2015,72,,
2/18/2015,810,,
8/29/2015,303,,
5/17/2014,380,,
5/6/2014,28,,
10/4/2015,274,,
1/5/2016,999,,
10/9/2015,920,,
11/18/2014,76,,
9/22/2016,710,,
8/9/2015,102,,
12/20/2016,899,,
12/30/2014,895,,
7/3/2016,254,,
8/26/2014,110,,
10/15/2014,137,,
4/23/2016,585,,
7/13/2014,687,,
8/22/2016,861,,
7/4/2015,835,,
9/16/2014,740,,
4/23/2014,48,,
6/9/2014,138,,
2/7/2017,783,,
12/26/2015,402,,
4/18/2016,272,,
10/1/2014,506,,
4/11/2014,574,,
3/27/2015,936,,
11/14/2015,606,,
10/24/2015,179,,
4/1/2016,923,,
6/25/2015,372,,
12/6/2014,21,,
11/24/2015,643,,
2/13/2017,352,,
10/30/2015,683,,
9/27/2015,527,,
11/4/2014,972,,
7/16/2016,65,,
3/2/2016,113,,
1/7/2017,232,,
9/19/2015,383,,
3/22/2015,712,,
5/28/2015,129,,
7/21/2016,284,,
4/29/2015,88,,
7/21/2015,804,,
10/9/2014,374,,
10/7/2014,874,,
6/2/2015,794,,
6/12/2016,602,,
4/18/2014,370,,
10/11/2015,431,,
6/9/2015,256,,
9/28/2016,824,,
6/23/2016,988,,
2/10/2017,473,,
5/30/2015,998,,
6/4/2015,235,,
7/3/2014,731,,
9/8/2014,70,,
3/29/2015,660,,
11/12/2015,691,,
1/16/2017,851,,
6/2/2016,61,,
10/5/2015,32,,
8/9/2014,769,,
5/14/2015,344,,
4/1/2016,582,,
7/26/2014,204,,
5/20/2015,449,,
8/27/2015,411,,
11/5/2015,670,,
11/11/2015,321,,
10/5/2015,118,,
9/17/2014,913,,
4/13/2014,105,,
3/23/2015,33,,
8/8/2014,250,,
7/23/2014,118,,
12/22/2016,136,,
1/31/2015,60,,
7/20/2015,522,,
8/20/2015,126,,
6/24/2016,950,,
5/3/2014,123,,
11/12/2016,709,,
8/15/2016,664,,
11/9/2015,976,,
7/4/2015,578,,
12/12/2016,478,,
4/23/2016,494,,
8/26/2016,747,,
9/9/2016,688,,
5/5/2016,261,,
6/10/2016,336,,
4/14/2016,289,,
5/10/2016,129,,
7/28/2014,78,,
4/15/2015,881,,
9/11/2015,108,,
1/8/2016,346,,
12/30/2014,486,,
9/29/2014,415,,
4/30/2014,553,,
7/17/2016,780,,
2/27/2016,685,,
1/6/2016,455,,
11/13/2014,520,,
4/21/2016,106,,
9/28/2016,305,,
5/24/2015,859,,
12/8/2015,368,,
7/21/2015,535,,
4/12/2014,20,,
2/18/2016,324,,
12/28/2016,743,,
12/11/2015,404,,
12/4/2014,259,,
6/24/2014,750,,
11/25/2014,755,,
1/26/2017,966,,
4/22/2014,278,,
3/19/2017,427,,
6/26/2016,88,,
12/4/2014,271,,
8/14/2014,540,,
3/21/2015,737,,
7/12/2014,818,,
8/27/2016,44,,
3/9/2015,778,,
12/17/2016,1766,,
5/16/2014,1949,,
12/24/2015,1261,,
