orderid,orderdate
219,15-04-2015
220,23-02-2017
221,11-03-2016
222,01-07-2015
223,30-07-2015
224,30-04-2016
225,12-09-2015
226,16-08-2016
227,13-02-2016
228,20-03-2016
229,20-01-2017
230,01-02-2017
231,04-10-2014
232,10-07-2016
233,11-09-2014
234,24-06-2016
235,18-08-2014
236,18-11-2015
237,27-04-2014
238,17-09-2015
239,14-08-2016
240,16-09-2016
241,30-04-2015
242,17-02-2015
243,18-04-2016
244,07-02-2017
245,14-06-2016
246,26-03-2015
247,19-02-2016
248,04-02-2015
249,11-11-2014
250,26-04-2014
251,10-12-2016
252,09-06-2014
253,04-08-2016
254,26-03-2016
255,09-03-2017
256,03-07-2016
257,06-06-2016
258,08-07-2014
259,21-10-2016
260,30-09-2016
261,20-06-2015
262,28-10-2015
263,03-02-2017
264,24-02-2015
265,29-10-2015
266,02-08-2015
267,05-02-2015
268,15-12-2015
269,28-12-2014
270,28-12-2014
271,09-11-2015
272,11-07-2015
273,07-11-2016
274,10-04-2015
275,24-03-2017
276,19-03-2016
277,31-05-2015
278,13-04-2015
279,03-11-2015
280,13-04-2014
281,24-12-2016
282,06-11-2015
283,16-05-2016
284,21-11-2016
285,25-09-2014
286,29-12-2015
287,25-07-2015
288,14-05-2014
289,21-12-2015
290,05-07-2014
291,09-01-2016
292,18-02-2017
293,01-02-2015
294,03-02-2017
295,11-11-2014
296,15-10-2014
297,01-05-2015
298,02-11-2016
299,02-07-2014
300,19-07-2014
301,21-01-2017
302,14-04-2016
303,15-10-2016
304,22-11-2014
305,20-11-2016
306,05-07-2014
307,08-06-2014
308,21-06-2015
309,20-12-2016
310,29-04-2016
311,21-03-2017
312,06-06-2014
313,11-06-2015
314,14-10-2016
315,13-10-2015
316,16-03-2017
317,06-04-2015
318,07-08-2014
319,27-06-2016
320,31-12-2014
321,12-07-2015
322,01-11-2014
323,15-07-2014
324,27-03-2015
325,17-12-2015
326,17-03-2015
327,27-11-2015
328,28-09-2014
329,28-11-2016
330,19-05-2014
331,21-12-2014
332,27-01-2015
333,26-02-2015
334,02-09-2014
335,26-01-2016
336,12-08-2016
337,14-05-2015
338,19-02-2016
339,01-09-2016
340,29-09-2016
341,13-12-2014
342,14-08-2014
343,25-12-2015
344,24-10-2014
345,16-09-2014
346,16-11-2015
347,26-11-2016
348,18-02-2015
349,08-08-2015
350,29-03-2016
351,04-07-2014
352,10-01-2016
353,27-10-2016
354,05-06-2015
355,01-03-2017
356,03-10-2016
357,21-09-2014
358,04-03-2017
359,29-07-2015
360,07-02-2015
361,05-07-2014
362,13-01-2017
363,10-08-2014
364,10-05-2015
365,27-01-2016
366,17-01-2017
367,24-12-2016
368,09-02-2017
369,14-12-2015
370,03-06-2014
371,21-10-2016
372,07-07-2016
373,13-10-2014
374,10-03-2017
375,29-01-2015
376,18-08-2014
377,31-05-2014
378,12-05-2014
379,25-06-2015
380,12-12-2015
381,08-10-2014
382,10-11-2015
383,15-11-2016
384,11-06-2015
385,19-11-2015
386,02-05-2016
387,15-03-2016
388,04-11-2014
389,14-02-2017
390,09-11-2015
391,01-07-2014
392,08-03-2017
393,03-07-2015
394,25-02-2015
395,20-02-2017
396,01-09-2016
397,07-04-2015
398,13-07-2015
399,10-12-2015
400,14-12-2015
401,11-02-2017
402,18-05-2014
403,12-12-2014
404,16-08-2015
405,14-06-2014
406,04-06-2015
407,20-06-2016
408,07-10-2015
409,20-08-2014
410,28-11-2016
411,18-11-2015
412,16-02-2016
413,24-12-2016
414,24-04-2016
415,30-08-2014
416,09-05-2015
417,22-02-2017
418,22-06-2016
419,07-07-2016
420,12-01-2017
421,06-08-2016
422,05-12-2014
423,13-09-2014
424,12-03-2016
425,03-09-2014
426,06-09-2015
427,13-05-2014
428,06-03-2016
429,26-03-2015
430,24-02-2015
431,18-10-2015
432,28-08-2014
433,20-10-2014
434,24-01-2015
435,08-10-2015
436,01-05-2014
437,24-01-2016
438,28-09-2014
439,09-07-2014
440,13-03-2015
441,15-06-2014
442,16-02-2016
443,16-07-2015
444,29-03-2015
445,29-05-2015
446,06-08-2016
447,30-10-2014
448,27-02-2015
449,23-04-2014
450,28-07-2014
451,12-10-2015
452,27-05-2015
453,14-07-2015
454,08-01-2017
455,13-12-2015
456,17-10-2015
457,15-06-2015
458,12-02-2015
459,17-09-2015
460,30-10-2016
461,14-02-2016
462,15-08-2015
463,09-11-2015
464,11-11-2015
465,02-12-2014
466,19-11-2016
467,09-10-2016
468,27-10-2016
469,23-12-2015
470,26-09-2015
471,22-03-2016
472,16-01-2015
473,06-02-2017
474,13-06-2015
475,27-07-2016
476,21-08-2016
477,02-11-2015
478,06-12-2016
479,15-07-2014
480,18-01-2016
481,23-11-2014
482,04-02-2017
483,25-07-2014
484,11-08-2014
485,13-10-2014
486,21-04-2014
487,26-01-2015
488,04-08-2014
489,07-06-2014
490,25-11-2015
491,17-03-2015
492,15-06-2015
493,23-04-2016
494,27-08-2015
495,21-07-2014
496,15-11-2014
497,12-10-2014
498,28-09-2016
499,16-02-2016
500,14-06-2015
501,06-11-2014
502,13-07-2015
503,21-02-2016
504,15-01-2015
505,19-05-2015
506,13-05-2014
507,29-01-2015
508,03-10-2016
509,12-06-2015
510,08-07-2015
511,19-10-2015
512,28-12-2015
513,18-03-2016
514,24-10-2014
515,20-09-2016
516,02-10-2014
517,13-02-2016
518,30-03-2017
519,23-08-2015
520,21-03-2016
521,13-12-2016
522,24-01-2015
523,04-05-2015
524,30-06-2015
525,12-06-2016
526,22-01-2015
527,30-10-2014
528,17-12-2014
529,21-05-2014
530,13-07-2015
531,22-10-2016
532,30-08-2014
533,09-06-2016
534,20-11-2016
535,08-04-2014
536,14-05-2014
537,28-07-2016
538,20-10-2014
539,24-09-2015
540,22-11-2016
541,22-12-2015
542,06-10-2016
543,24-01-2016
544,30-12-2014
545,26-04-2015
546,13-07-2015
547,10-02-2016
548,12-06-2014
549,10-01-2015
550,14-12-2015
551,08-07-2016
552,11-05-2014
553,04-08-2015
554,08-02-2015
555,25-11-2016
556,16-12-2016
557,10-06-2014
558,20-03-2016
559,14-09-2015
560,20-03-2017
561,16-06-2014
562,06-03-2016
563,05-08-2016
564,03-11-2016
565,05-07-2014
566,14-06-2016
567,11-01-2015
568,13-07-2016
569,29-09-2014
570,15-09-2015
571,06-10-2016
572,17-10-2016
573,04-05-2015
574,25-08-2014
575,17-02-2017
576,04-02-2017
577,27-09-2016
578,31-10-2014
579,08-11-2016
580,22-12-2016
581,07-11-2014
582,11-08-2014
583,27-02-2017
584,24-05-2014
585,12-11-2016
586,25-02-2015
587,19-06-2015
588,10-06-2014
589,07-10-2015
590,09-05-2014
591,08-04-2016
592,20-07-2014
593,21-03-2016
594,29-12-2016
595,01-06-2015
596,18-04-2016
597,28-02-2015
598,05-06-2015
599,22-03-2016
600,05-05-2016
601,19-06-2015
602,27-12-2014
603,13-06-2016
604,09-04-2014
605,06-06-2014
606,05-08-2014
607,07-09-2015
608,28-05-2015
609,16-09-2014
610,07-11-2014
611,18-12-2015
612,25-02-2017
613,11-10-2016
614,30-10-2015
615,25-10-2016
616,12-07-2015
617,06-01-2017
618,17-11-2016
619,24-09-2014
620,17-06-2015
621,09-02-2015
622,09-01-2017
623,05-05-2014
624,22-01-2016
625,06-08-2014
626,25-10-2015
627,14-11-2014
628,13-12-2014
629,27-10-2016
630,03-01-2016
631,25-02-2016
632,06-05-2015
633,25-06-2014
634,03-10-2014
635,07-04-2016
636,24-11-2015
637,25-07-2015
638,30-09-2016
639,04-08-2014
640,07-11-2015
641,05-08-2014
642,21-02-2016
643,17-02-2016
644,09-01-2016
645,20-09-2014
646,05-12-2015
647,12-09-2016
648,23-11-2016
649,08-03-2015
650,14-02-2015
651,28-04-2014
652,18-10-2014
653,21-05-2015
654,08-10-2015
655,27-07-2014
656,19-03-2017
657,04-02-2016
658,14-08-2015
659,27-02-2016
660,27-02-2017
661,18-12-2016
662,03-04-2015
663,20-03-2017
664,25-07-2015
665,18-05-2015
666,01-06-2016
667,17-03-2015
668,11-01-2015
669,01-11-2014
670,07-06-2016
671,12-06-2014
672,18-05-2016
673,08-08-2016
674,03-09-2014
675,29-08-2015
676,01-07-2014
677,05-06-2016
678,23-08-2014
679,30-11-2014
680,03-04-2015
681,08-01-2017
682,13-11-2016
683,07-07-2014
684,23-04-2016
685,16-11-2014
686,25-08-2015
687,10-09-2014
688,26-11-2016
689,05-08-2015
690,03-12-2016
691,18-02-2015
692,13-11-2015
693,19-11-2015
694,15-05-2015
695,13-07-2015
696,25-09-2015
697,23-01-2016
698,31-08-2015
699,23-10-2016
700,24-03-2017
701,13-04-2014
702,22-03-2015
703,31-05-2014
704,26-08-2014
705,18-02-2017
706,11-10-2016
707,10-08-2014
708,23-01-2017
709,27-09-2015
710,05-06-2014
711,17-03-2017
712,29-01-2017
713,17-02-2017
714,28-01-2017
715,11-09-2014
716,17-01-2017
717,29-11-2015
718,25-10-2015
719,27-08-2014
720,13-03-2017
721,29-12-2015
722,30-06-2016
723,05-08-2015
724,07-02-2017
725,28-12-2014
726,16-08-2015
727,28-10-2014
728,06-09-2014
729,27-02-2015
730,28-03-2016
731,19-05-2016
732,06-11-2014
733,27-03-2017
734,12-09-2015
735,18-08-2014
736,25-05-2014
737,16-05-2014
738,09-05-2014
739,22-02-2017
740,09-09-2014
741,10-06-2014
742,25-03-2015
743,30-12-2015
744,09-04-2016
745,30-05-2015
746,08-10-2016
747,24-06-2015
748,14-02-2015
749,09-05-2015
750,18-10-2015
751,16-04-2014
752,20-05-2015
753,29-08-2015
754,06-12-2014
755,18-05-2016
756,23-04-2016
757,11-07-2016
758,11-12-2015
759,26-10-2016
760,20-02-2015
761,20-05-2015
762,14-07-2016
763,15-01-2017
764,25-08-2014
765,09-12-2015
766,17-10-2016
767,08-01-2016
768,26-09-2015
769,14-11-2014
770,11-03-2016
771,04-01-2016
772,01-11-2015
773,30-06-2015
774,09-09-2016
775,31-03-2017
776,08-04-2014
777,16-06-2016
778,07-03-2016
779,20-01-2016
780,27-01-2015
781,12-10-2014
782,17-10-2014
783,16-05-2015
784,24-12-2015
785,13-09-2015
786,18-02-2016
787,30-10-2015
788,08-06-2014
789,28-10-2016
790,20-01-2015
791,23-12-2014
792,12-05-2015
793,24-05-2014
794,14-04-2015
795,22-07-2014
796,24-07-2016
797,14-06-2016
798,08-12-2015
799,15-09-2014
800,07-06-2014
801,05-08-2015
802,13-03-2015
803,08-08-2015
804,16-05-2016
805,10-02-2016
806,16-01-2016
807,05-06-2014
808,23-11-2014
809,29-06-2014
810,05-04-2015
811,11-04-2014
812,19-11-2014
813,28-04-2016
814,20-05-2016
815,15-09-2015
816,08-11-2014
817,12-10-2015
818,11-07-2015
819,18-10-2016
820,09-10-2016
821,28-07-2016
822,29-03-2016
823,16-03-2016
824,06-07-2016
825,27-12-2014
826,25-01-2016
827,24-05-2015
828,05-09-2016
829,24-05-2014
830,05-12-2015
831,25-07-2015
832,30-12-2014
833,25-08-2016
834,10-03-2017
835,04-11-2014
836,11-07-2014
837,01-02-2015
838,16-04-2016
839,23-12-2014
840,10-03-2016
841,25-10-2016
842,03-12-2016
843,08-12-2016
844,28-01-2016
845,03-03-2016
846,17-01-2016
847,18-02-2016
848,13-02-2016
849,25-01-2015
850,22-12-2015
851,29-04-2015
852,03-07-2016
853,28-08-2015
854,26-07-2015
855,28-10-2014
856,11-02-2015
857,22-04-2016
858,01-11-2016
859,22-07-2016
860,15-01-2016
861,03-12-2016
862,09-01-2015
863,19-06-2016
864,03-12-2014
865,24-01-2016
866,30-03-2016
867,07-05-2014
868,22-08-2014
869,25-06-2015
870,12-03-2017
871,16-04-2014
872,30-03-2017
873,16-08-2015
874,23-03-2015
875,05-05-2015
876,04-01-2016
877,22-04-2015
878,02-09-2015
879,25-12-2015
880,04-06-2015
881,16-05-2014
882,27-11-2014
883,06-10-2014
884,31-07-2015
885,26-03-2016
886,09-02-2016
887,07-02-2016
888,02-02-2015
889,16-05-2016
890,13-01-2017
891,10-08-2014
892,24-05-2015
893,03-12-2014
894,26-03-2016
895,07-10-2015
896,11-12-2014
897,11-05-2014
898,01-05-2015
899,01-12-2015
900,17-04-2014
901,11-10-2015
902,21-03-2016
903,30-01-2016
904,20-05-2016
905,17-07-2016
906,04-11-2016
907,10-04-2014
908,09-05-2014
909,19-04-2014
910,04-04-2015
911,18-07-2016
912,26-12-2015
913,10-04-2015
914,04-08-2015
915,24-07-2015
916,12-03-2017
917,11-09-2016
918,26-02-2017
919,06-11-2014
920,08-06-2015
921,07-05-2014
922,22-10-2015
923,18-08-2014
924,12-01-2015
925,23-08-2014
926,09-07-2014
927,18-07-2014
928,29-11-2015
929,26-09-2014
930,21-09-2014
931,29-05-2014
932,05-02-2015
933,11-03-2017
934,02-05-2016
935,31-10-2016
936,02-09-2014
937,27-09-2015
938,17-05-2015
939,23-10-2015
940,19-02-2016
941,18-04-2015
942,27-12-2014
943,20-11-2015
944,23-11-2014
945,11-02-2016
946,06-03-2016
947,06-03-2017
948,09-07-2014
949,23-10-2014
950,09-05-2014
951,06-05-2016
952,10-03-2015
953,21-10-2016
954,22-08-2015
955,01-09-2015
956,10-11-2014
957,20-02-2015
958,11-01-2015
959,19-09-2014
960,16-07-2015
961,27-09-2016
962,16-05-2016
963,30-03-2017
964,20-06-2015
965,30-06-2014
966,11-09-2015
967,05-01-2017
968,04-05-2016
969,02-05-2014
970,03-04-2017
971,10-09-2014
972,20-04-2016
973,20-03-2016
974,14-02-2017
975,18-04-2014
976,11-06-2016
977,10-01-2015
978,30-03-2017
979,17-07-2015
980,29-10-2015
981,13-04-2016
982,09-06-2014
983,27-09-2014
984,21-11-2014
985,09-03-2017
986,06-03-2017
987,14-08-2016
988,27-10-2015
989,19-03-2017
990,06-03-2015
991,28-09-2016
992,25-10-2014
993,16-08-2014
994,03-06-2014
995,10-07-2015
996,18-09-2015
997,25-01-2015
998,25-05-2015
999,22-08-2016
1000,10-11-2014
1001,08-08-2014
1002,01-11-2014
1003,18-07-2014
1004,20-10-2014
1005,17-12-2015
1006,02-12-2015
1007,26-04-2016
1008,30-07-2016
1009,19-01-2015
1010,27-06-2014
1011,10-09-2014
1012,17-05-2015
1013,02-08-2016
1014,23-09-2014
1015,11-05-2014
1016,09-01-2015
1017,17-10-2014
1018,20-04-2014
1019,22-01-2016
1020,15-08-2016
1021,12-05-2016
1022,08-02-2016
1023,06-08-2015
1024,04-09-2014
1025,06-09-2015
1026,12-08-2016
1027,04-07-2015
1028,14-09-2014
1029,22-01-2016
1030,26-10-2015
1031,04-05-2014
1032,23-04-2016
1033,19-08-2016
1034,16-08-2016
1035,04-09-2014
1036,25-11-2016
1037,15-12-2015
1038,23-03-2015
1039,31-12-2015
1040,06-07-2015
1041,09-10-2016
1042,23-10-2014
1043,16-06-2015
1044,15-03-2016
1045,15-02-2016
1046,25-08-2016
1047,26-11-2015
1048,30-04-2015
1049,08-06-2016
1050,27-12-2015
1051,13-04-2016
1052,07-10-2014
1053,09-09-2016
1054,15-02-2015
1055,10-01-2017
1056,13-07-2016
1057,26-11-2014
1058,22-07-2015
1059,24-11-2016
1060,07-01-2016
1061,04-05-2014
1062,15-12-2015
1063,30-09-2016
1064,21-06-2014
1065,17-09-2016
1066,13-01-2016
1067,21-04-2015
1068,06-02-2015
1069,19-04-2015
1070,23-01-2016
1071,17-01-2015
1072,01-01-2016
1073,14-03-2017
1074,07-06-2015
1075,09-11-2014
1076,08-01-2015
1077,28-05-2015
1078,22-06-2016
1079,12-08-2015
1080,18-11-2015
1081,28-09-2015
1082,16-12-2015
1083,19-09-2014
1084,22-07-2014
1085,25-07-2015
1086,10-03-2017
1087,29-05-2016
1088,20-05-2015
1089,11-05-2014
1090,27-09-2016
1091,31-10-2015
1092,26-09-2016
1093,18-07-2015
1094,26-05-2014
1095,07-06-2014
1096,25-10-2014
1097,30-05-2015
1098,05-08-2016
1099,12-07-2016
1100,01-12-2015
1101,21-01-2017
1102,02-05-2015
1103,06-06-2015
1104,26-07-2015
1105,18-02-2017
1106,13-10-2015
1107,13-06-2014
1108,06-12-2014
1109,18-02-2017
1110,07-01-2017
1111,30-05-2015
1112,24-05-2016
1113,30-05-2014
1114,04-06-2015
1115,24-12-2015
1116,18-04-2015
1117,03-02-2015
1118,16-03-2017
1119,04-12-2014
1120,12-03-2016
1121,16-10-2016
1122,28-11-2015
1123,31-10-2014
1124,10-07-2016
1125,19-10-2016
1126,30-06-2015
1127,12-06-2016
1128,18-10-2014
1129,15-08-2016
1130,09-03-2015
1131,07-01-2016
1132,27-03-2017
1133,12-05-2014
1134,25-05-2015
1135,06-01-2016
1136,26-12-2014
1137,29-10-2014
1138,26-02-2016
1139,22-08-2016
1140,26-02-2015
1141,01-10-2014
1142,28-11-2014
1143,09-07-2016
1144,22-01-2015
1145,08-06-2015
1146,07-03-2015
1147,27-05-2015
1148,12-01-2017
1149,30-12-2016
1150,15-12-2015
1151,08-10-2014
1152,24-11-2014
1153,07-07-2015
1154,15-10-2014
1155,11-05-2016
1156,21-10-2014
1157,04-03-2016
1158,30-07-2016
1159,04-10-2014
1160,15-01-2016
1161,09-02-2016
1162,20-03-2016
1163,20-08-2016
1164,29-10-2015
1165,07-01-2015
1166,15-12-2016
1167,16-03-2015
1168,23-02-2015
1169,16-10-2016
1170,23-01-2016
1171,18-01-2017
1172,07-08-2015
1173,21-03-2015
1174,14-12-2014
1175,24-02-2017
1176,01-11-2016
1177,26-08-2015
1178,14-08-2016
1179,13-03-2016
1180,01-09-2014
1181,05-06-2015
1182,16-01-2017
1183,03-12-2015
1184,03-09-2014
1185,25-04-2016
1186,18-08-2014
1187,25-08-2015
1188,15-06-2014
1189,06-04-2015
1190,07-08-2016
1191,29-01-2016
1192,21-07-2014
1193,24-07-2014
1194,17-05-2014
1195,31-05-2015
1196,25-09-2014
1197,19-02-2016
1198,16-08-2015
1199,23-06-2015
1200,31-12-2015
1201,24-03-2017
1202,03-11-2015
1203,29-11-2015
1204,28-04-2014
1205,04-09-2016
1206,21-08-2014
1207,24-06-2014
1208,16-09-2016
1209,24-12-2016
1210,12-09-2016
1211,26-06-2016
1212,24-09-2014
1213,09-11-2015
1214,31-12-2015
1215,09-06-2016
1216,14-01-2017
1217,26-12-2015
1218,17-10-2014
1219,17-08-2016
1220,23-02-2017
1221,17-08-2016
1222,11-05-2014
1223,17-04-2016
1224,15-01-2017
1225,08-11-2014
1226,08-05-2015
1227,22-05-2015
1228,03-04-2017
1229,13-05-2015
1230,21-12-2015
1231,27-10-2015
1232,01-09-2015
1233,30-06-2014
1234,15-11-2015
1235,22-01-2015
1236,26-01-2017
1237,21-12-2016
1238,11-07-2016
1239,02-11-2016
1240,03-07-2016
1241,22-12-2014
1242,01-05-2014
1243,05-04-2016
1244,25-01-2015
1245,01-01-2016
1246,31-03-2016
1247,11-02-2016
1248,12-01-2017
1249,15-03-2015
1250,14-11-2015
1251,23-04-2014
1252,24-12-2016
1253,19-01-2015
1254,02-10-2016
1255,13-01-2015
1256,29-11-2014
1257,12-03-2016
1258,11-08-2014
1259,27-03-2015
1260,18-11-2015
1261,22-10-2016
1262,23-05-2015
1263,22-12-2016
1264,08-03-2016
1265,07-02-2017
1266,19-04-2015
1267,25-02-2016
1268,25-08-2016
1269,20-02-2016
1270,25-10-2014
1271,27-03-2016
1272,25-10-2015
1273,04-05-2015
1274,26-06-2014
1275,19-05-2014
1276,08-05-2014
1277,26-03-2017
1278,16-01-2015
1279,17-02-2017
1280,19-12-2015
1281,29-12-2016
1282,31-03-2015
1283,30-10-2015
1284,14-10-2016
1285,17-01-2016
1286,08-03-2016
1287,02-04-2016
1288,03-03-2015
1289,17-03-2016
1290,18-02-2017
1291,11-03-2015
1292,24-07-2015
1293,13-05-2016
1294,12-07-2014
1295,26-06-2014
1296,24-11-2016
1297,30-01-2017
1298,09-04-2014
1299,08-10-2014
1300,27-02-2016
1301,15-11-2015
1302,21-05-2015
1303,20-01-2016
1304,16-03-2015
1305,14-10-2015
1306,10-12-2016
1307,23-04-2016
1308,29-11-2014
1309,23-05-2014
1310,14-11-2014
1311,01-05-2016
1312,21-08-2014
1313,23-01-2017
1314,10-06-2014
1315,22-02-2015
1316,31-01-2017
1317,01-10-2015
1318,06-02-2015
1319,14-03-2015
1320,23-08-2014
1321,01-11-2016
1322,23-06-2016
1323,11-11-2014
1324,21-12-2015
1325,13-08-2015
1326,13-08-2016
1327,26-05-2015
1328,24-06-2015
1329,15-02-2016
1330,28-06-2014
1331,25-01-2017
1332,04-01-2017
1333,12-06-2015
1334,08-01-2017
1335,01-05-2015
1336,09-12-2016
1337,05-06-2016
1338,18-10-2014
1339,12-08-2014
1340,25-05-2015
1341,22-03-2015
1342,14-01-2016
1343,04-08-2014
1344,26-04-2015
1345,11-07-2015
1346,25-08-2016
1347,21-09-2014
1348,16-01-2016
1349,27-03-2015
1350,05-04-2016
1351,08-12-2016
1352,02-06-2014
1353,14-02-2016
1354,26-06-2014
1355,02-02-2015
1356,01-11-2016
1357,27-02-2015
1358,09-01-2015
1359,29-05-2016
1360,16-03-2015
1361,14-09-2015
1362,11-10-2015
1363,12-09-2015
1364,24-04-2016
1365,31-03-2016
1366,25-05-2016
1367,19-05-2014
1368,18-11-2016
1369,31-05-2014
1370,12-10-2014
1371,27-05-2015
1372,10-06-2016
1373,08-01-2017
1374,11-09-2016
1375,06-08-2015
1376,23-09-2015
1377,17-05-2014
1378,20-07-2014
1379,20-12-2014
1380,01-04-2015
1381,22-07-2015
1382,26-10-2016
1383,22-11-2014
1384,15-12-2015
1385,16-10-2015
1386,20-07-2016
1387,21-10-2014
1388,19-03-2015
1389,22-02-2017
1390,25-12-2015
1391,29-06-2016
1392,23-10-2015
1393,27-11-2014
1394,18-01-2017
1395,29-12-2016
1396,29-09-2015
1397,23-05-2015
1398,07-09-2015
1399,13-10-2014
1400,02-08-2014
1401,15-05-2014
1402,22-06-2014
1403,08-01-2015
1404,14-09-2015
1405,20-02-2017
1406,27-12-2014
1407,01-04-2016
1408,20-01-2016
1409,15-07-2015
1410,25-11-2015
1411,28-12-2014
1412,31-12-2014
1413,07-08-2016
1414,09-02-2016
1415,02-03-2016
1416,08-10-2014
1417,06-07-2015
1418,11-08-2016
1419,08-06-2015
1420,30-10-2014
1421,25-01-2017
1422,30-05-2016
1423,26-05-2016
1424,20-03-2015
1425,19-12-2015
1426,08-12-2014
1427,26-03-2017
1428,09-11-2016
1429,02-01-2015
1430,14-10-2016
1431,28-10-2014
1432,26-02-2015
1433,19-10-2015
1434,12-04-2016
1435,27-10-2015
1436,27-05-2015
1437,14-03-2015
1438,18-04-2015
1439,26-12-2016
1440,15-03-2017
1441,27-07-2014
1442,01-06-2015
1443,29-01-2017
1444,12-08-2014
1445,24-03-2015
1446,24-06-2016
1447,07-01-2016
1448,24-11-2015
1449,08-08-2014
1450,22-02-2017
1451,23-09-2016
1452,30-05-2015
1453,23-02-2016
1454,31-03-2017
1455,15-12-2015
1456,07-04-2014
1457,10-05-2014
1458,30-06-2016
1459,18-08-2014
1460,26-11-2016
1461,17-07-2014
1462,18-11-2016
1463,19-12-2015
1464,07-09-2015
1465,18-09-2015
1466,26-08-2015
1467,20-03-2017
1468,09-11-2014
1469,27-12-2015
1470,20-01-2015
1471,21-02-2016
1472,14-09-2014
1473,04-03-2017
1474,02-06-2014
1475,12-12-2015
1476,10-12-2016
1477,09-03-2015
1478,23-01-2016
1479,07-04-2014
1480,02-05-2016
1481,10-04-2014
1482,09-12-2015
1483,10-04-2014
1484,06-01-2016
1485,02-05-2015
1486,30-08-2015
1487,08-12-2015
1488,04-05-2014
1489,18-06-2015
1490,19-03-2017
1491,06-09-2014
1492,26-04-2016
1493,15-02-2015
1494,23-05-2014
1495,18-12-2014
1496,13-04-2015
1497,19-10-2016
1498,26-07-2016
