shipcost,shipmode,shipdate,transactionid,shipmentid
1,Deleiivery Truck,1/16/2015,203,203
5,Deleiivery Truck,6/10/2016,204,204
14,Deleiivery Truck,10/3/2014,205,205
13,Regular Air,10/31/2015,206,206
6,Deleiivery Truck,2/14/2017,207,207
17,Deleiivery Truck,3/21/2015,208,208
12,express Air,7/11/2014,209,209
13,Regular Air,12/7/2014,210,210
16,Deleiivery Truck,12/6/2014,211,211
14,express Air,2/7/2015,212,212
5,express Air,3/12/2015,213,213
7,express Air,7/22/2016,214,214
3,Deleiivery Truck,3/5/2015,215,215
11,Deleiivery Truck,1/22/2016,216,216
5,Regular Air,7/3/2016,217,217
4,express Air,5/18/2016,218,218
10,Deleiivery Truck,7/25/2015,219,219
7,express Air,9/28/2015,220,220
5,express Air,3/29/2016,221,221
10,express Air,1/4/2015,222,222
4,Regular Air,7/14/2014,223,223
17,express Air,3/7/2017,224,224
8,Deleiivery Truck,11/27/2014,225,225
6,Deleiivery Truck,9/1/2016,226,226
6,Regular Air,4/25/2014,227,227
1,express Air,6/25/2014,228,228
3,Regular Air,7/24/2015,229,229
18,express Air,8/20/2016,230,230
12,Deleiivery Truck,6/22/2015,231,231
8,Regular Air,8/14/2016,232,232
1,Deleiivery Truck,3/27/2016,233,233
14,Deleiivery Truck,10/26/2016,234,234
12,Regular Air,12/16/2015,235,235
2,express Air,12/17/2014,236,236
3,express Air,7/15/2014,237,237
18,express Air,12/27/2014,238,238
10,express Air,11/4/2015,239,239
4,Regular Air,8/14/2014,240,240
7,Regular Air,12/26/2015,241,241
18,Deleiivery Truck,3/13/2015,242,242
5,Regular Air,7/22/2016,243,243
2,Deleiivery Truck,1/4/2015,244,244
3,express Air,4/21/2016,245,245
17,Regular Air,2/5/2017,246,246
9,Deleiivery Truck,11/18/2014,247,247
3,express Air,5/25/2016,248,248
7,Regular Air,5/8/2015,249,249
15,Deleiivery Truck,2/15/2015,250,250
19,express Air,1/8/2016,251,251
19,express Air,5/27/2016,252,252
17,Deleiivery Truck,1/7/2015,253,253
14,express Air,6/16/2014,254,254
11,Deleiivery Truck,12/27/2016,255,255
15,Regular Air,3/22/2017,256,256
6,Deleiivery Truck,12/3/2016,257,257
10,Deleiivery Truck,2/13/2015,258,258
15,Regular Air,12/11/2015,259,259
6,Regular Air,1/24/2015,260,260
11,Regular Air,4/8/2015,261,261
10,Deleiivery Truck,5/5/2014,262,262
10,express Air,8/26/2014,263,263
6,express Air,5/10/2016,264,264
9,Regular Air,7/30/2016,265,265
14,Deleiivery Truck,8/2/2016,266,266
19,Deleiivery Truck,2/22/2016,267,267
9,express Air,1/26/2016,268,268
13,express Air,8/7/2016,269,269
19,Regular Air,10/3/2014,270,270
17,express Air,3/20/2016,271,271
7,express Air,8/14/2014,272,272
18,Regular Air,9/15/2016,273,273
11,express Air,5/3/2015,274,274
14,Deleiivery Truck,11/18/2014,275,275
16,express Air,8/16/2015,276,276
16,express Air,10/19/2015,277,277
17,express Air,7/19/2015,278,278
19,express Air,11/26/2016,279,279
4,Deleiivery Truck,1/13/2016,280,280
13,Regular Air,4/16/2016,281,281
2,Deleiivery Truck,7/7/2016,282,282
11,Regular Air,10/1/2015,283,283
19,express Air,5/23/2016,284,284
19,Regular Air,9/20/2016,285,285
15,Deleiivery Truck,7/11/2015,286,286
11,Regular Air,4/24/2015,287,287
19,Regular Air,12/30/2016,288,288
9,Regular Air,4/12/2014,289,289
18,Deleiivery Truck,4/25/2015,290,290
10,Deleiivery Truck,9/1/2014,291,291
18,Regular Air,6/28/2016,292,292
18,express Air,9/4/2015,293,293
19,Regular Air,2/6/2016,294,294
1,Regular Air,5/22/2016,295,295
10,express Air,12/22/2015,296,296
1,Deleiivery Truck,9/17/2016,297,297
3,express Air,9/29/2015,298,298
11,express Air,12/1/2015,299,299
2,Regular Air,9/8/2014,300,300
1,express Air,8/25/2016,301,301
11,Regular Air,4/22/2016,302,302
7,Regular Air,3/21/2017,303,303
6,Regular Air,1/24/2017,304,304
11,Deleiivery Truck,5/26/2015,305,305
7,Deleiivery Truck,6/1/2014,306,306
11,Deleiivery Truck,4/1/2017,307,307
14,Deleiivery Truck,5/28/2015,308,308
14,Deleiivery Truck,6/21/2014,309,309
6,express Air,9/13/2016,310,310
12,express Air,5/6/2014,311,311
9,Deleiivery Truck,4/5/2016,312,312
5,Deleiivery Truck,12/27/2014,313,313
15,Regular Air,4/15/2015,314,314
15,Deleiivery Truck,11/20/2016,315,315
19,Regular Air,1/10/2017,316,316
8,express Air,10/16/2014,317,317
6,Deleiivery Truck,4/30/2015,318,318
8,express Air,1/20/2015,319,319
4,express Air,8/12/2015,320,320
14,Deleiivery Truck,1/22/2016,321,321
4,Deleiivery Truck,11/1/2016,322,322
9,Regular Air,11/6/2016,323,323
14,express Air,7/30/2014,324,324
11,express Air,7/3/2015,325,325
3,express Air,5/26/2014,326,326
6,express Air,10/6/2014,327,327
5,Deleiivery Truck,3/1/2015,328,328
18,express Air,2/25/2016,329,329
10,express Air,9/30/2016,330,330
2,express Air,4/30/2015,331,331
10,Regular Air,10/16/2014,332,332
14,Regular Air,2/2/2015,333,333
12,express Air,10/31/2016,334,334
11,Deleiivery Truck,9/3/2016,335,335
11,express Air,7/10/2014,336,336
10,Deleiivery Truck,12/28/2014,337,337
15,Regular Air,5/26/2016,338,338
15,Deleiivery Truck,8/12/2016,339,339
5,Regular Air,4/20/2016,340,340
12,Deleiivery Truck,3/8/2017,341,341
8,express Air,6/25/2016,342,342
14,Regular Air,1/1/2016,343,343
1,Regular Air,4/25/2016,344,344
4,Deleiivery Truck,1/10/2015,345,345
8,express Air,5/3/2015,346,346
13,express Air,8/1/2015,347,347
2,Regular Air,9/10/2016,348,348
17,express Air,8/17/2015,349,349
9,Deleiivery Truck,2/27/2015,350,350
8,Regular Air,9/16/2014,351,351
7,Regular Air,4/5/2016,352,352
18,Deleiivery Truck,8/8/2015,353,353
14,express Air,6/22/2016,354,354
18,express Air,7/19/2014,355,355
2,Deleiivery Truck,12/26/2015,356,356
17,Regular Air,7/10/2014,357,357
2,Regular Air,4/4/2016,358,358
7,express Air,8/8/2016,359,359
14,Deleiivery Truck,8/14/2016,360,360
18,express Air,6/30/2015,361,361
4,express Air,12/28/2016,362,362
11,express Air,10/10/2014,363,363
16,express Air,7/28/2015,364,364
7,Regular Air,4/26/2014,365,365
18,Deleiivery Truck,7/31/2014,366,366
19,express Air,4/26/2015,367,367
11,Regular Air,10/18/2015,368,368
8,Deleiivery Truck,6/25/2014,369,369
19,express Air,9/8/2014,370,370
5,Deleiivery Truck,10/14/2016,371,371
7,express Air,9/28/2016,372,372
3,Regular Air,11/29/2016,373,373
11,Deleiivery Truck,8/1/2015,374,374
7,Regular Air,11/13/2016,375,375
14,Regular Air,12/30/2015,376,376
6,Regular Air,11/20/2014,377,377
11,Deleiivery Truck,3/13/2015,378,378
19,Regular Air,3/24/2015,379,379
4,express Air,11/16/2016,380,380
5,Deleiivery Truck,4/27/2015,381,381
3,Deleiivery Truck,8/13/2014,382,382
19,express Air,12/12/2014,383,383
12,Regular Air,12/1/2014,384,384
6,Deleiivery Truck,2/5/2017,385,385
11,Deleiivery Truck,5/3/2015,386,386
10,Deleiivery Truck,3/16/2016,387,387
10,Deleiivery Truck,11/25/2016,388,388
5,Regular Air,12/26/2014,389,389
12,express Air,9/23/2014,390,390
6,Regular Air,5/23/2015,391,391
18,express Air,5/6/2015,392,392
8,Deleiivery Truck,7/31/2014,393,393
19,Regular Air,11/13/2016,394,394
17,Regular Air,3/5/2016,395,395
2,express Air,9/8/2014,396,396
12,Regular Air,4/19/2016,397,397
11,Deleiivery Truck,9/4/2015,398,398
9,express Air,9/16/2016,399,399
12,Regular Air,8/10/2016,400,400
9,Regular Air,9/3/2014,401,401
8,Deleiivery Truck,2/2/2015,402,402
2,Regular Air,8/27/2015,403,403
5,Regular Air,4/7/2015,404,404
12,Regular Air,6/24/2014,405,405
15,express Air,3/7/2017,406,406
8,express Air,4/12/2014,407,407
3,express Air,1/5/2015,408,408
14,express Air,5/13/2016,409,409
8,express Air,3/18/2016,410,410
12,Regular Air,12/10/2015,411,411
11,Deleiivery Truck,10/1/2016,412,412
19,express Air,9/13/2015,413,413
7,Deleiivery Truck,10/7/2016,414,414
11,express Air,4/5/2014,415,415
11,Regular Air,9/6/2016,416,416
10,Deleiivery Truck,4/1/2016,417,417
13,Deleiivery Truck,10/6/2016,418,418
10,Deleiivery Truck,6/13/2014,419,419
13,express Air,9/11/2014,420,420
1,Regular Air,8/22/2016,421,421
14,express Air,4/11/2014,422,422
11,express Air,10/31/2016,423,423
9,express Air,1/16/2016,424,424
15,Deleiivery Truck,9/15/2014,425,425
16,express Air,7/21/2016,426,426
16,Deleiivery Truck,9/21/2015,427,427
4,Regular Air,8/1/2015,428,428
10,Deleiivery Truck,3/18/2016,429,429
10,Regular Air,5/7/2015,430,430
19,Regular Air,11/14/2014,431,431
18,Regular Air,8/30/2014,432,432
2,Regular Air,6/6/2015,433,433
15,express Air,12/25/2016,434,434
19,Deleiivery Truck,3/8/2015,435,435
2,Regular Air,9/15/2015,436,436
7,Deleiivery Truck,2/7/2015,437,437
11,Deleiivery Truck,1/7/2016,438,438
10,express Air,7/22/2016,439,439
15,Deleiivery Truck,11/17/2016,440,440
8,express Air,5/9/2015,441,441
11,Deleiivery Truck,5/24/2014,442,442
16,Regular Air,10/23/2016,443,443
3,Deleiivery Truck,4/3/2017,444,444
13,Deleiivery Truck,10/16/2016,445,445
1,Deleiivery Truck,1/8/2016,446,446
11,express Air,1/15/2017,447,447
18,Regular Air,4/22/2015,448,448
15,Deleiivery Truck,3/18/2016,449,449
19,express Air,3/27/2016,450,450
13,Deleiivery Truck,5/11/2015,451,451
4,express Air,7/24/2015,452,452
10,Deleiivery Truck,3/6/2016,453,453
11,Deleiivery Truck,7/17/2016,454,454
3,Regular Air,6/8/2014,455,455
13,express Air,11/1/2016,456,456
16,Deleiivery Truck,11/24/2015,457,457
16,Deleiivery Truck,7/20/2014,458,458
8,Regular Air,7/2/2016,459,459
18,express Air,6/1/2014,460,460
9,Regular Air,2/6/2015,461,461
19,Regular Air,11/3/2016,462,462
1,express Air,10/7/2016,463,463
18,Deleiivery Truck,3/15/2017,464,464
11,express Air,3/28/2017,465,465
8,express Air,3/14/2016,466,466
2,express Air,12/14/2014,467,467
15,express Air,7/28/2015,468,468
6,Deleiivery Truck,12/20/2016,469,469
19,Deleiivery Truck,1/27/2017,470,470
8,express Air,12/3/2014,471,471
1,Deleiivery Truck,9/24/2015,472,472
4,Regular Air,6/10/2015,473,473
16,Deleiivery Truck,10/8/2014,474,474
16,Regular Air,1/12/2015,475,475
9,Regular Air,2/12/2016,476,476
18,Deleiivery Truck,8/18/2016,477,477
11,express Air,4/1/2017,478,478
13,Deleiivery Truck,12/2/2014,479,479
1,Regular Air,11/2/2016,480,480
12,Regular Air,1/29/2017,481,481
2,express Air,3/4/2015,482,482
19,Deleiivery Truck,5/3/2015,483,483
11,Regular Air,1/12/2017,484,484
12,express Air,8/23/2016,485,485
8,Deleiivery Truck,10/2/2014,486,486
4,Regular Air,2/1/2015,487,487
8,Regular Air,7/18/2014,488,488
16,express Air,11/13/2016,489,489
11,Regular Air,5/7/2015,490,490
5,Deleiivery Truck,7/12/2015,491,491
15,Deleiivery Truck,6/23/2014,492,492
6,Deleiivery Truck,4/23/2014,493,493
3,express Air,5/10/2016,494,494
14,Regular Air,5/25/2014,495,495
3,express Air,3/3/2017,496,496
11,Deleiivery Truck,6/4/2016,497,497
2,Regular Air,8/25/2014,498,498
15,Regular Air,3/27/2017,499,499
16,Deleiivery Truck,4/11/2015,500,500
8,express Air,5/27/2015,501,501
12,Regular Air,1/10/2017,502,502
15,express Air,7/31/2016,503,503
15,express Air,5/22/2016,504,504
3,Deleiivery Truck,5/30/2015,505,505
12,express Air,12/23/2015,506,506
6,express Air,12/19/2014,507,507
19,Deleiivery Truck,7/15/2014,508,508
15,Deleiivery Truck,8/9/2015,509,509
16,express Air,7/6/2014,510,510
1,Deleiivery Truck,12/8/2015,511,511
19,Regular Air,12/10/2015,512,512
19,express Air,10/4/2015,513,513
1,Regular Air,4/1/2015,514,514
13,express Air,11/5/2016,515,515
13,Deleiivery Truck,8/20/2016,516,516
5,Regular Air,5/20/2016,517,517
10,Regular Air,4/3/2015,518,518
18,express Air,2/11/2016,519,519
12,Regular Air,9/21/2016,520,520
18,express Air,2/11/2016,521,521
11,Deleiivery Truck,6/14/2014,522,522
16,Regular Air,10/4/2016,523,523
17,Regular Air,4/11/2014,524,524
4,express Air,4/22/2014,525,525
1,express Air,12/22/2014,526,526
7,express Air,7/27/2016,527,527
5,Regular Air,2/6/2015,528,528
3,Regular Air,11/17/2014,529,529
15,express Air,9/26/2015,530,530
17,Deleiivery Truck,1/27/2016,531,531
15,Regular Air,3/18/2017,532,532
6,express Air,1/21/2015,533,533
14,express Air,5/17/2016,534,534
9,Regular Air,7/5/2015,535,535
17,Deleiivery Truck,8/20/2015,536,536
6,Regular Air,11/12/2014,537,537
9,Deleiivery Truck,6/11/2016,538,538
12,Deleiivery Truck,4/12/2014,539,539
1,Regular Air,12/19/2015,540,540
1,Deleiivery Truck,8/5/2014,541,541
4,express Air,11/20/2015,542,542
15,Deleiivery Truck,9/17/2016,543,543
14,Regular Air,7/8/2016,544,544
10,Deleiivery Truck,3/23/2017,545,545
11,Deleiivery Truck,12/16/2015,546,546
2,express Air,12/14/2014,547,547
3,Regular Air,6/22/2014,548,548
2,Regular Air,1/16/2017,549,549
6,Regular Air,7/20/2016,550,550
17,Deleiivery Truck,1/25/2017,551,551
13,Deleiivery Truck,2/2/2016,552,552
19,Regular Air,7/17/2016,553,553
7,Deleiivery Truck,6/11/2016,554,554
12,Regular Air,10/2/2016,555,555
17,express Air,1/16/2016,556,556
10,express Air,5/23/2015,557,557
14,Deleiivery Truck,2/15/2017,558,558
3,express Air,8/29/2014,559,559
2,Deleiivery Truck,8/7/2015,560,560
17,Deleiivery Truck,2/5/2016,561,561
16,Regular Air,9/3/2014,562,562
2,Regular Air,12/16/2014,563,563
11,Deleiivery Truck,11/24/2015,564,564
14,express Air,3/5/2017,565,565
11,Regular Air,10/14/2014,566,566
10,Regular Air,5/21/2015,567,567
19,express Air,10/16/2014,568,568
16,express Air,2/14/2016,569,569
9,express Air,10/11/2014,570,570
16,Deleiivery Truck,7/7/2016,571,571
15,express Air,5/6/2015,572,572
12,express Air,3/20/2016,573,573
14,Deleiivery Truck,1/28/2016,574,574
4,Deleiivery Truck,12/20/2014,575,575
13,Regular Air,2/7/2015,576,576
9,Regular Air,5/20/2015,577,577
18,Deleiivery Truck,1/3/2016,578,578
18,Deleiivery Truck,10/17/2016,579,579
11,express Air,8/1/2014,580,580
11,Regular Air,7/31/2016,581,581
19,express Air,1/3/2015,582,582
13,Regular Air,1/26/2016,583,583
13,express Air,4/15/2016,584,584
5,express Air,5/12/2015,585,585
2,Regular Air,9/16/2016,586,586
11,express Air,5/31/2016,587,587
9,express Air,6/26/2014,588,588
15,Deleiivery Truck,8/3/2015,589,589
2,Regular Air,8/31/2016,590,590
17,Deleiivery Truck,2/15/2017,591,591
18,express Air,11/22/2015,592,592
3,express Air,3/31/2015,593,593
9,Deleiivery Truck,8/4/2015,594,594
18,express Air,6/24/2015,595,595
3,Regular Air,10/29/2014,596,596
10,Deleiivery Truck,10/22/2015,597,597
7,Deleiivery Truck,4/2/2015,598,598
3,Regular Air,11/8/2014,599,599
11,Regular Air,8/30/2014,600,600
3,Regular Air,9/26/2016,601,601
9,Regular Air,9/18/2016,602,602
12,Regular Air,12/6/2015,603,603
9,Regular Air,11/11/2016,604,604
12,Deleiivery Truck,2/15/2016,605,605
8,express Air,6/26/2014,606,606
14,Deleiivery Truck,11/22/2016,607,607
5,Regular Air,8/15/2015,608,608
15,Deleiivery Truck,7/7/2015,609,609
1,express Air,7/4/2015,610,610
13,express Air,6/8/2014,611,611
6,Deleiivery Truck,7/14/2015,612,612
17,Deleiivery Truck,10/21/2016,613,613
3,express Air,12/20/2016,614,614
4,Regular Air,9/9/2015,615,615
17,Regular Air,4/10/2016,616,616
16,Regular Air,5/11/2014,617,617
3,Deleiivery Truck,12/24/2014,618,618
4,Regular Air,5/21/2015,619,619
6,Regular Air,10/4/2016,620,620
14,Regular Air,5/15/2014,621,621
12,express Air,1/25/2016,622,622
1,express Air,10/29/2014,623,623
11,Deleiivery Truck,10/2/2016,624,624
13,express Air,11/18/2015,625,625
5,express Air,11/4/2015,626,626
14,Regular Air,6/25/2014,627,627
13,express Air,7/16/2015,628,628
9,Regular Air,2/25/2017,629,629
1,express Air,3/3/2017,630,630
9,Deleiivery Truck,4/13/2015,631,631
18,Regular Air,8/20/2016,632,632
11,express Air,4/12/2014,633,633
14,express Air,2/4/2015,634,634
8,express Air,3/19/2015,635,635
17,Deleiivery Truck,8/2/2016,636,636
2,Deleiivery Truck,5/21/2015,637,637
14,Deleiivery Truck,8/10/2015,638,638
4,express Air,2/10/2016,639,639
15,Regular Air,6/17/2016,640,640
3,express Air,3/30/2016,641,641
19,express Air,4/19/2014,642,642
2,Regular Air,5/19/2016,643,643
3,express Air,8/2/2016,644,644
18,express Air,3/23/2016,645,645
10,express Air,7/7/2015,646,646
16,Deleiivery Truck,6/29/2016,647,647
17,Regular Air,4/27/2016,648,648
6,Deleiivery Truck,8/11/2014,649,649
4,Deleiivery Truck,7/24/2014,650,650
2,Regular Air,1/25/2017,651,651
16,express Air,11/17/2016,652,652
7,express Air,5/28/2015,653,653
3,express Air,7/11/2016,654,654
14,Regular Air,2/22/2017,655,655
17,Deleiivery Truck,1/2/2015,656,656
18,Deleiivery Truck,8/13/2016,657,657
6,express Air,6/17/2016,658,658
10,Deleiivery Truck,10/13/2016,659,659
11,express Air,11/25/2014,660,660
14,Regular Air,1/30/2016,661,661
1,Regular Air,2/16/2015,662,662
10,Deleiivery Truck,4/26/2015,663,663
10,Regular Air,5/7/2016,664,664
17,Regular Air,9/22/2014,665,665
17,Regular Air,2/11/2016,666,666
3,Deleiivery Truck,7/31/2014,667,667
2,express Air,9/5/2016,668,668
6,Regular Air,11/9/2014,669,669
9,express Air,9/26/2016,670,670
12,express Air,7/16/2015,671,671
10,Deleiivery Truck,10/20/2014,672,672
13,Deleiivery Truck,10/4/2015,673,673
12,Regular Air,3/22/2017,674,674
7,Regular Air,8/9/2015,675,675
2,express Air,4/21/2015,676,676
4,express Air,12/19/2016,677,677
17,Regular Air,5/25/2016,678,678
15,express Air,12/23/2015,679,679
8,Deleiivery Truck,3/12/2016,680,680
16,Regular Air,4/10/2015,681,681
13,Deleiivery Truck,3/7/2017,682,682
6,Regular Air,8/28/2015,683,683
8,express Air,7/17/2015,684,684
5,Deleiivery Truck,2/12/2016,685,685
15,express Air,7/24/2015,686,686
14,Regular Air,7/31/2016,687,687
18,express Air,2/17/2016,688,688
11,express Air,7/21/2014,689,689
19,Regular Air,10/31/2014,690,690
9,express Air,4/22/2015,691,691
13,Deleiivery Truck,1/12/2016,692,692
10,Deleiivery Truck,4/19/2014,693,693
2,Deleiivery Truck,7/14/2015,694,694
10,Deleiivery Truck,3/10/2016,695,695
17,Deleiivery Truck,11/15/2016,696,696
5,Deleiivery Truck,11/6/2014,697,697
19,express Air,4/24/2015,698,698
9,Deleiivery Truck,10/4/2014,699,699
2,Regular Air,10/29/2014,700,700
15,Regular Air,12/21/2014,701,701
10,Regular Air,9/24/2014,702,702
19,Deleiivery Truck,2/2/2016,703,703
11,Regular Air,3/28/2016,704,704
8,Regular Air,7/22/2016,705,705
13,express Air,8/23/2014,706,706
10,express Air,1/21/2016,707,707
8,express Air,2/7/2016,708,708
10,Regular Air,6/2/2014,709,709
15,Regular Air,2/22/2017,710,710
9,Deleiivery Truck,8/3/2015,711,711
